Date,Review,Rating,Sentiment_Label,Clean_Review
2021-11-21,affordable service and loved the food and friendly ambience,3,positive,affordable service and loved the food and friendly ambience
2024-11-19,delicious lighting and friendly food,4,positive,delicious lighting and friendly food
2019-09-24,The staff and food and service were okay.,3,neutral,the staff and food and service were okay
2020-02-05,loved the cleanliness and friendly menu and delicious music,4,positive,loved the cleanliness and friendly menu and delicious music
2024-12-26,amazing ambience and relaxing food,3,positive,amazing ambience and relaxing food
2021-11-29,quick lighting,3,positive,quick lighting
2024-11-23,long wait lighting,3,negative,long wait lighting
2023-05-10,bad waiting time,2,negative,bad waiting time
2019-05-17,The staff were okay.,3,neutral,the staff were okay
2023-02-23,The ambience were okay.,3,neutral,the ambience were okay
2020-05-13,great menu and friendly lighting and delicious cleanliness,4,positive,great menu and friendly lighting and delicious cleanliness
2023-04-18,The pricing and cleanliness were okay.,3,neutral,the pricing and cleanliness were okay
2020-01-19,outstanding music,5,positive,outstanding music
2019-10-24,perfect pricing and quick ambience,3,positive,perfect pricing and quick ambience
2023-11-26,rude staff and rude waiting time,2,negative,rude staff and rude waiting time
2023-11-24,long wait menu,2,negative,long wait menu
2022-04-17,outstanding service and delicious music and quick menu,5,positive,outstanding service and delicious music and quick menu
2022-02-11,relaxing service and loved the lighting,3,positive,relaxing service and loved the lighting
2019-08-22,The food and service were okay.,3,neutral,the food and service were okay
2024-02-27,perfect cleanliness,5,positive,perfect cleanliness
2024-09-07,affordable lighting and amazing ambience and delicious service,5,positive,affordable lighting and amazing ambience and delicious service
2022-12-07,delicious menu and delicious waiting time,4,positive,delicious menu and delicious waiting time
2020-03-30,The ambience and staff and waiting time were okay.,3,neutral,the ambience and staff and waiting time were okay
2022-01-30,affordable music and delicious cleanliness,5,positive,affordable music and delicious cleanliness
2022-12-12,outstanding food,5,positive,outstanding food
2023-03-19,loved the food and outstanding lighting,3,positive,loved the food and outstanding lighting
2019-07-18,amazing ambience,3,positive,amazing ambience
2020-04-02,delicious service and outstanding food,3,positive,delicious service and outstanding food
2024-02-04,amazing food,4,positive,amazing food
2023-03-30,affordable menu and loved the lighting and great waiting time,3,positive,affordable menu and loved the lighting and great waiting time
2023-11-13,perfect menu and amazing ambience,4,positive,perfect menu and amazing ambience
2021-04-11,delicious food and loved the lighting and delicious menu,4,positive,delicious food and loved the lighting and delicious menu
2024-01-15,affordable lighting,4,positive,affordable lighting
2019-03-03,quick food and delicious lighting and delicious pricing,3,positive,quick food and delicious lighting and delicious pricing
2019-03-31,affordable pricing and affordable cleanliness and amazing food,5,positive,affordable pricing and affordable cleanliness and amazing food
2024-11-24,friendly pricing and friendly cleanliness and delicious music,3,positive,friendly pricing and friendly cleanliness and delicious music
2019-09-10,quick pricing,4,positive,quick pricing
2021-08-15,noisy waiting time and poor cleanliness,2,negative,noisy waiting time and poor cleanliness
2024-08-29,overpriced staff and dirty service,1,negative,overpriced staff and dirty service
2019-10-23,affordable cleanliness,3,positive,affordable cleanliness
2020-07-21,poor staff and hated the lighting,2,negative,poor staff and hated the lighting
2024-08-13,great food and perfect lighting and great staff,5,positive,great food and perfect lighting and great staff
2023-04-01,affordable ambience and delicious cleanliness and friendly menu,4,positive,affordable ambience and delicious cleanliness and friendly menu
2020-01-27,perfect music,5,positive,perfect music
2020-08-21,quick waiting time,3,positive,quick waiting time
2022-11-12,amazing lighting,5,positive,amazing lighting
2019-01-27,loved the ambience and quick music,5,positive,loved the ambience and quick music
2020-09-12,rude waiting time,3,negative,rude waiting time
2023-04-23,overpriced waiting time,1,negative,overpriced waiting time
2024-03-10,The cleanliness were okay.,3,neutral,the cleanliness were okay
2020-11-27,outstanding food and loved the pricing and friendly staff,4,positive,outstanding food and loved the pricing and friendly staff
2022-09-09,relaxing cleanliness,5,positive,relaxing cleanliness
2021-01-28,friendly pricing,3,positive,friendly pricing
2024-07-04,relaxing cleanliness and delicious waiting time and friendly pricing,5,positive,relaxing cleanliness and delicious waiting time and friendly pricing
2023-07-01,quick lighting and quick waiting time,3,positive,quick lighting and quick waiting time
2021-06-25,friendly waiting time and delicious pricing and delicious cleanliness,3,positive,friendly waiting time and delicious pricing and delicious cleanliness
2021-09-08,The waiting time and staff were okay.,3,neutral,the waiting time and staff were okay
2022-04-07,The music were okay.,3,neutral,the music were okay
2022-06-19,affordable staff and perfect pricing and outstanding service,4,positive,affordable staff and perfect pricing and outstanding service
2021-04-16,rude menu and rude service and noisy ambience,3,negative,rude menu and rude service and noisy ambience
2019-06-22,slow menu and overpriced ambience,1,negative,slow menu and overpriced ambience
2021-04-19,rude staff,3,negative,rude staff
2023-04-16,hated the service and long wait music,1,negative,hated the service and long wait music
2022-10-03,loved the service and outstanding ambience and great music,5,positive,loved the service and outstanding ambience and great music
2024-10-22,overpriced pricing and terrible music,1,negative,overpriced pricing and terrible music
2020-12-17,slow service,3,negative,slow service
2022-09-01,great music,5,positive,great music
2019-04-01,loved the waiting time and delicious staff and perfect pricing,5,positive,loved the waiting time and delicious staff and perfect pricing
2021-11-06,outstanding staff and delicious cleanliness and delicious lighting,4,positive,outstanding staff and delicious cleanliness and delicious lighting
2023-05-12,delicious waiting time and outstanding service,3,positive,delicious waiting time and outstanding service
2023-01-16,affordable cleanliness and great food and amazing ambience,5,positive,affordable cleanliness and great food and amazing ambience
2019-01-24,outstanding cleanliness,3,positive,outstanding cleanliness
2024-05-08,quick ambience and affordable menu and loved the cleanliness,3,positive,quick ambience and affordable menu and loved the cleanliness
2024-08-21,hated the staff and hated the music,2,negative,hated the staff and hated the music
2020-08-27,overpriced ambience,2,negative,overpriced ambience
2021-01-28,affordable food,4,positive,affordable food
2019-09-05,The waiting time and cleanliness were okay.,3,neutral,the waiting time and cleanliness were okay
2020-08-10,affordable ambience and amazing menu and affordable lighting,3,positive,affordable ambience and amazing menu and affordable lighting
2022-11-10,The waiting time and service and menu were okay.,3,neutral,the waiting time and service and menu were okay
2019-07-31,amazing cleanliness and relaxing music and amazing ambience,4,positive,amazing cleanliness and relaxing music and amazing ambience
2020-04-29,The food and service and menu were okay.,3,neutral,the food and service and menu were okay
2022-12-01,The music and menu and lighting were okay.,3,neutral,the music and menu and lighting were okay
2021-08-06,friendly ambience and affordable pricing and outstanding food,3,positive,friendly ambience and affordable pricing and outstanding food
2020-11-08,bad pricing and rude food and noisy service,3,negative,bad pricing and rude food and noisy service
2021-11-03,hated the cleanliness and long wait lighting and poor staff,2,negative,hated the cleanliness and long wait lighting and poor staff
2024-02-09,terrible waiting time and poor lighting and terrible pricing,2,negative,terrible waiting time and poor lighting and terrible pricing
2023-09-01,slow music and bad food and rude ambience,3,negative,slow music and bad food and rude ambience
2024-02-27,quick food,3,positive,quick food
2023-05-05,affordable food and loved the music,4,positive,affordable food and loved the music
2020-06-09,amazing music,3,positive,amazing music
2024-12-21,friendly service and great pricing and delicious food,5,positive,friendly service and great pricing and delicious food
2019-05-01,perfect food and relaxing cleanliness,3,positive,perfect food and relaxing cleanliness
2023-12-02,slow lighting,1,negative,slow lighting
2023-06-24,affordable waiting time and outstanding menu,5,positive,affordable waiting time and outstanding menu
2020-05-23,poor ambience and poor service and dirty menu,2,negative,poor ambience and poor service and dirty menu
2019-07-24,great service and relaxing food,5,positive,great service and relaxing food
2024-11-09,loved the music and relaxing lighting,3,positive,loved the music and relaxing lighting
2021-03-05,relaxing service and delicious ambience and perfect waiting time,4,positive,relaxing service and delicious ambience and perfect waiting time
2021-08-28,quick cleanliness and perfect food and relaxing service,5,positive,quick cleanliness and perfect food and relaxing service
2022-08-11,The waiting time and staff and pricing were okay.,3,neutral,the waiting time and staff and pricing were okay
2022-09-23,amazing lighting and affordable food,3,positive,amazing lighting and affordable food
2023-07-17,The service and lighting were okay.,3,neutral,the service and lighting were okay
2021-07-23,friendly staff and great menu,4,positive,friendly staff and great menu
2021-01-05,great menu,4,positive,great menu
2023-04-07,perfect pricing,4,positive,perfect pricing
2023-01-06,affordable service,4,positive,affordable service
2024-10-01,loved the staff and friendly cleanliness,3,positive,loved the staff and friendly cleanliness
2021-09-21,rude cleanliness,1,negative,rude cleanliness
2020-09-14,poor menu and noisy lighting and terrible staff,2,negative,poor menu and noisy lighting and terrible staff
2019-08-30,loved the ambience and quick menu and friendly lighting,3,positive,loved the ambience and quick menu and friendly lighting
2023-04-05,The music and lighting and staff were okay.,3,neutral,the music and lighting and staff were okay
2020-12-09,noisy cleanliness,2,negative,noisy cleanliness
2021-07-26,The pricing and lighting and staff were okay.,3,neutral,the pricing and lighting and staff were okay
2022-07-10,The cleanliness and staff were okay.,3,neutral,the cleanliness and staff were okay
2020-11-29,outstanding waiting time,4,positive,outstanding waiting time
2020-11-30,loved the music and outstanding ambience,5,positive,loved the music and outstanding ambience
2024-04-19,quick food and relaxing service,5,positive,quick food and relaxing service
2019-11-06,poor pricing,1,negative,poor pricing
2022-03-17,relaxing staff and perfect waiting time,3,positive,relaxing staff and perfect waiting time
2021-03-31,affordable pricing and outstanding staff and affordable lighting,5,positive,affordable pricing and outstanding staff and affordable lighting
2024-11-17,relaxing music and affordable service,4,positive,relaxing music and affordable service
2021-04-29,friendly lighting and relaxing music and outstanding ambience,3,positive,friendly lighting and relaxing music and outstanding ambience
2021-01-14,great waiting time and quick lighting and great music,5,positive,great waiting time and quick lighting and great music
2022-11-18,overpriced music and bad ambience and bad menu,2,negative,overpriced music and bad ambience and bad menu
2023-08-28,rude menu and dirty ambience and poor music,2,negative,rude menu and dirty ambience and poor music
2023-01-21,poor staff and rude music and terrible cleanliness,2,negative,poor staff and rude music and terrible cleanliness
2023-05-01,great food,5,positive,great food
2020-08-22,The cleanliness and music were okay.,3,neutral,the cleanliness and music were okay
2024-05-26,friendly menu and outstanding pricing,4,positive,friendly menu and outstanding pricing
2019-01-22,quick pricing and perfect music and friendly ambience,5,positive,quick pricing and perfect music and friendly ambience
2021-09-25,hated the food and long wait waiting time,2,negative,hated the food and long wait waiting time
2023-03-06,friendly ambience,4,positive,friendly ambience
2020-01-26,terrible waiting time,3,negative,terrible waiting time
2019-06-08,The menu and lighting were okay.,3,neutral,the menu and lighting were okay
2019-07-13,poor waiting time and poor music and slow food,1,negative,poor waiting time and poor music and slow food
2021-10-10,hated the ambience,2,negative,hated the ambience
2020-03-15,hated the cleanliness and dirty lighting and bad music,2,negative,hated the cleanliness and dirty lighting and bad music
2020-03-18,overpriced cleanliness and noisy lighting and long wait waiting time,3,negative,overpriced cleanliness and noisy lighting and long wait waiting time
2019-06-22,quick waiting time and loved the staff,3,positive,quick waiting time and loved the staff
2023-06-14,The service and cleanliness and menu were okay.,3,neutral,the service and cleanliness and menu were okay
2024-08-10,long wait pricing and rude menu,1,negative,long wait pricing and rude menu
2021-09-14,great music and perfect food,4,positive,great music and perfect food
2020-02-28,long wait cleanliness and dirty lighting and hated the food,3,negative,long wait cleanliness and dirty lighting and hated the food
2022-08-20,The cleanliness and waiting time were okay.,3,neutral,the cleanliness and waiting time were okay
2022-02-20,perfect pricing and amazing music and amazing food,4,positive,perfect pricing and amazing music and amazing food
2020-12-19,overpriced waiting time and overpriced ambience,1,negative,overpriced waiting time and overpriced ambience
2019-02-11,poor menu,1,negative,poor menu
2019-10-24,delicious waiting time and loved the food,4,positive,delicious waiting time and loved the food
2019-08-31,amazing music and friendly ambience and amazing menu,3,positive,amazing music and friendly ambience and amazing menu
2024-08-22,friendly menu and quick food,4,positive,friendly menu and quick food
2023-08-30,friendly lighting,4,positive,friendly lighting
2021-02-24,perfect menu,5,positive,perfect menu
2023-05-03,delicious lighting and quick service,3,positive,delicious lighting and quick service
2019-08-27,friendly music and loved the service and loved the food,5,positive,friendly music and loved the service and loved the food
2021-05-06,outstanding music and delicious service and perfect menu,5,positive,outstanding music and delicious service and perfect menu
2019-08-25,terrible service and terrible pricing and hated the cleanliness,2,negative,terrible service and terrible pricing and hated the cleanliness
2023-08-15,friendly lighting and perfect waiting time,4,positive,friendly lighting and perfect waiting time
2022-12-31,relaxing lighting and great menu,3,positive,relaxing lighting and great menu
2022-05-17,delicious pricing and delicious music,4,positive,delicious pricing and delicious music
2019-10-01,friendly food,3,positive,friendly food
2021-11-30,perfect menu and delicious service,3,positive,perfect menu and delicious service
2023-06-12,slow service and hated the menu,2,negative,slow service and hated the menu
2022-12-19,The food were okay.,3,neutral,the food were okay
2019-11-13,relaxing menu and quick cleanliness,5,positive,relaxing menu and quick cleanliness
2019-02-17,slow cleanliness,2,negative,slow cleanliness
2024-01-05,dirty food and overpriced waiting time and dirty menu,2,negative,dirty food and overpriced waiting time and dirty menu
2022-07-06,perfect cleanliness and amazing service,3,positive,perfect cleanliness and amazing service
2023-09-10,bad music and bad food,1,negative,bad music and bad food
2021-01-18,relaxing staff and affordable ambience,5,positive,relaxing staff and affordable ambience
2019-12-07,perfect menu and great cleanliness,5,positive,perfect menu and great cleanliness
2019-10-29,noisy waiting time and rude service and noisy lighting,2,negative,noisy waiting time and rude service and noisy lighting
2022-05-20,great lighting and loved the food and affordable staff,5,positive,great lighting and loved the food and affordable staff
2024-08-21,amazing pricing and great food and loved the music,3,positive,amazing pricing and great food and loved the music
2022-03-17,perfect cleanliness and loved the music and perfect ambience,3,positive,perfect cleanliness and loved the music and perfect ambience
2022-04-19,perfect music and great menu and outstanding lighting,4,positive,perfect music and great menu and outstanding lighting
2023-03-28,perfect ambience and quick waiting time and perfect food,4,positive,perfect ambience and quick waiting time and perfect food
2024-09-27,slow food and bad staff and long wait waiting time,1,negative,slow food and bad staff and long wait waiting time
2019-03-23,great cleanliness,3,positive,great cleanliness
2019-09-11,poor service,1,negative,poor service
2019-03-30,rude pricing and hated the ambience and slow menu,1,negative,rude pricing and hated the ambience and slow menu
2019-07-03,terrible ambience and hated the service,3,negative,terrible ambience and hated the service
2022-06-03,bad menu and slow lighting,3,negative,bad menu and slow lighting
2019-12-15,delicious music,4,positive,delicious music
2021-04-05,quick menu,4,positive,quick menu
2020-05-05,dirty menu and long wait ambience,2,negative,dirty menu and long wait ambience
2020-05-02,friendly pricing and delicious service,5,positive,friendly pricing and delicious service
2024-11-10,hated the ambience and overpriced menu and noisy waiting time,2,negative,hated the ambience and overpriced menu and noisy waiting time
2021-01-26,The lighting and cleanliness and pricing were okay.,3,neutral,the lighting and cleanliness and pricing were okay
2022-10-06,delicious pricing and delicious service and relaxing menu,4,positive,delicious pricing and delicious service and relaxing menu
2020-02-18,poor lighting,1,negative,poor lighting
2023-11-14,The pricing and menu were okay.,3,neutral,the pricing and menu were okay
2024-04-07,quick lighting and delicious waiting time,4,positive,quick lighting and delicious waiting time
2023-08-29,dirty cleanliness and hated the lighting,1,negative,dirty cleanliness and hated the lighting
2023-05-23,loved the music and amazing staff,5,positive,loved the music and amazing staff
2020-02-21,perfect service,3,positive,perfect service
2022-12-29,relaxing lighting and great ambience,4,positive,relaxing lighting and great ambience
2019-03-01,overpriced lighting and rude service and hated the food,3,negative,overpriced lighting and rude service and hated the food
2021-02-14,The pricing were okay.,3,neutral,the pricing were okay
2021-09-04,outstanding service and amazing food,4,positive,outstanding service and amazing food
2023-11-27,affordable cleanliness and amazing staff,5,positive,affordable cleanliness and amazing staff
2019-12-17,long wait ambience and overpriced lighting,2,negative,long wait ambience and overpriced lighting
2024-03-13,delicious lighting and outstanding cleanliness,4,positive,delicious lighting and outstanding cleanliness
2024-05-17,friendly cleanliness and delicious food,4,positive,friendly cleanliness and delicious food
2021-06-06,relaxing pricing and great menu and quick lighting,4,positive,relaxing pricing and great menu and quick lighting
2023-04-22,bad menu and poor pricing,1,negative,bad menu and poor pricing
2019-09-22,quick ambience and loved the menu and amazing cleanliness,3,positive,quick ambience and loved the menu and amazing cleanliness
2024-11-08,affordable staff,3,positive,affordable staff
2024-11-30,affordable waiting time and quick menu,4,positive,affordable waiting time and quick menu
2023-12-22,great service and affordable staff,3,positive,great service and affordable staff
2022-04-10,quick staff and loved the menu and affordable waiting time,4,positive,quick staff and loved the menu and affordable waiting time
2023-02-27,great service,4,positive,great service
2020-07-03,perfect staff,5,positive,perfect staff
2021-11-15,slow staff,2,negative,slow staff
2022-03-22,amazing music and outstanding staff,5,positive,amazing music and outstanding staff
2024-06-03,relaxing food and affordable lighting,4,positive,relaxing food and affordable lighting
2019-01-29,long wait ambience,2,negative,long wait ambience
2021-06-13,The waiting time and lighting and food were okay.,3,neutral,the waiting time and lighting and food were okay
2023-06-27,outstanding lighting and outstanding cleanliness and friendly menu,3,positive,outstanding lighting and outstanding cleanliness and friendly menu
2023-06-06,slow ambience and terrible pricing and bad lighting,3,negative,slow ambience and terrible pricing and bad lighting
2020-10-28,bad staff and rude ambience,1,negative,bad staff and rude ambience
2023-01-01,quick service and quick staff and outstanding menu,5,positive,quick service and quick staff and outstanding menu
2021-06-17,great lighting and affordable menu,3,positive,great lighting and affordable menu
2022-03-24,friendly staff and delicious lighting,4,positive,friendly staff and delicious lighting
2023-06-18,noisy food,2,negative,noisy food
2021-09-21,loved the pricing and quick food and loved the service,3,positive,loved the pricing and quick food and loved the service
2020-12-09,outstanding lighting,5,positive,outstanding lighting
2023-04-15,delicious waiting time and delicious staff,3,positive,delicious waiting time and delicious staff
2021-05-10,affordable menu and delicious pricing and perfect lighting,4,positive,affordable menu and delicious pricing and perfect lighting
2021-11-25,great food and perfect service,3,positive,great food and perfect service
2021-09-28,hated the service and hated the menu,1,negative,hated the service and hated the menu
2020-05-22,loved the lighting and delicious menu,4,positive,loved the lighting and delicious menu
2021-07-04,outstanding staff and quick food and perfect ambience,5,positive,outstanding staff and quick food and perfect ambience
2024-07-14,quick music,5,positive,quick music
2022-12-28,bad ambience and terrible lighting,2,negative,bad ambience and terrible lighting
2021-01-05,delicious menu,5,positive,delicious menu
2023-11-22,quick pricing and relaxing waiting time and friendly lighting,4,positive,quick pricing and relaxing waiting time and friendly lighting
2019-02-04,The menu and ambience and cleanliness were okay.,3,neutral,the menu and ambience and cleanliness were okay
2020-01-30,terrible music and hated the menu,3,negative,terrible music and hated the menu
2019-02-21,relaxing service and delicious menu and great music,4,positive,relaxing service and delicious menu and great music
2020-12-24,quick food and relaxing menu,5,positive,quick food and relaxing menu
2021-08-28,relaxing ambience,4,positive,relaxing ambience
2022-09-15,loved the music and outstanding pricing,5,positive,loved the music and outstanding pricing
2020-12-16,amazing music and outstanding cleanliness,4,positive,amazing music and outstanding cleanliness
2022-01-20,slow lighting and bad waiting time and overpriced menu,2,negative,slow lighting and bad waiting time and overpriced menu
2019-09-22,terrible food and bad ambience and dirty staff,2,negative,terrible food and bad ambience and dirty staff
2022-10-07,affordable ambience and amazing lighting,5,positive,affordable ambience and amazing lighting
2022-09-16,perfect lighting,5,positive,perfect lighting
2022-10-07,The lighting were okay.,3,neutral,the lighting were okay
2020-08-13,affordable pricing,4,positive,affordable pricing
2019-11-11,perfect pricing and quick waiting time and amazing music,3,positive,perfect pricing and quick waiting time and amazing music
2024-12-10,friendly staff and friendly cleanliness and perfect menu,5,positive,friendly staff and friendly cleanliness and perfect menu
2021-06-17,quick pricing and perfect music,3,positive,quick pricing and perfect music
2021-01-22,bad pricing and hated the music and rude waiting time,2,negative,bad pricing and hated the music and rude waiting time
2024-03-08,quick ambience and loved the cleanliness and loved the music,5,positive,quick ambience and loved the cleanliness and loved the music
2021-05-11,amazing staff and amazing food,3,positive,amazing staff and amazing food
2019-01-18,great cleanliness and great ambience and delicious food,4,positive,great cleanliness and great ambience and delicious food
2021-10-07,delicious lighting and amazing food,4,positive,delicious lighting and amazing food
2022-01-10,The ambience and lighting and service were okay.,3,neutral,the ambience and lighting and service were okay
2020-06-02,relaxing music and outstanding lighting and relaxing food,5,positive,relaxing music and outstanding lighting and relaxing food
2021-03-04,loved the ambience,5,positive,loved the ambience
2022-01-04,relaxing cleanliness and amazing service and friendly food,5,positive,relaxing cleanliness and amazing service and friendly food
2024-07-17,friendly menu and delicious service,3,positive,friendly menu and delicious service
2022-11-22,loved the waiting time and loved the ambience and perfect service,5,positive,loved the waiting time and loved the ambience and perfect service
2021-07-02,long wait menu and noisy music,1,negative,long wait menu and noisy music
2023-01-20,amazing service,3,positive,amazing service
2024-04-01,quick music and relaxing cleanliness,3,positive,quick music and relaxing cleanliness
2021-05-08,delicious menu and delicious waiting time and affordable service,3,positive,delicious menu and delicious waiting time and affordable service
2019-01-21,quick cleanliness and great food,3,positive,quick cleanliness and great food
2021-08-19,delicious waiting time and amazing staff,3,positive,delicious waiting time and amazing staff
2024-06-23,terrible cleanliness and terrible service and hated the lighting,2,negative,terrible cleanliness and terrible service and hated the lighting
2020-03-02,The menu and music were okay.,3,neutral,the menu and music were okay
2021-10-28,loved the cleanliness and friendly music,3,positive,loved the cleanliness and friendly music
2024-07-13,noisy service and poor ambience and slow lighting,2,negative,noisy service and poor ambience and slow lighting
2021-01-09,perfect cleanliness and friendly lighting and affordable waiting time,4,positive,perfect cleanliness and friendly lighting and affordable waiting time
2022-04-17,outstanding music and affordable food,4,positive,outstanding music and affordable food
2021-09-02,The service and waiting time and pricing were okay.,3,neutral,the service and waiting time and pricing were okay
2020-02-06,hated the pricing and rude cleanliness,3,negative,hated the pricing and rude cleanliness
2022-03-31,terrible lighting and hated the staff,3,negative,terrible lighting and hated the staff
2019-05-29,perfect ambience and quick menu,3,positive,perfect ambience and quick menu
2021-09-05,poor music,2,negative,poor music
2020-04-19,outstanding music and delicious lighting and perfect service,5,positive,outstanding music and delicious lighting and perfect service
2019-01-07,delicious lighting and delicious cleanliness,5,positive,delicious lighting and delicious cleanliness
2019-06-13,outstanding pricing and perfect lighting,4,positive,outstanding pricing and perfect lighting
2021-10-12,amazing staff and perfect food and amazing ambience,3,positive,amazing staff and perfect food and amazing ambience
2019-04-28,noisy ambience and poor lighting and slow cleanliness,3,negative,noisy ambience and poor lighting and slow cleanliness
2020-02-07,relaxing menu and relaxing waiting time and perfect staff,4,positive,relaxing menu and relaxing waiting time and perfect staff
2022-10-04,amazing waiting time and amazing lighting and delicious food,5,positive,amazing waiting time and amazing lighting and delicious food
2021-07-07,relaxing music and quick lighting,4,positive,relaxing music and quick lighting
2021-05-09,affordable waiting time and quick music,4,positive,affordable waiting time and quick music
2021-11-05,quick pricing and affordable food and outstanding staff,3,positive,quick pricing and affordable food and outstanding staff
2021-05-06,delicious staff and quick food and outstanding lighting,3,positive,delicious staff and quick food and outstanding lighting
2019-11-01,terrible pricing and poor service and slow lighting,1,negative,terrible pricing and poor service and slow lighting
2019-09-20,bad pricing and noisy service,2,negative,bad pricing and noisy service
2022-08-10,great waiting time and friendly service,3,positive,great waiting time and friendly service
2022-11-05,long wait ambience and overpriced waiting time and dirty food,2,negative,long wait ambience and overpriced waiting time and dirty food
